Reporting level,Province,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,Radiation Therapy,90th Percentile,2008,Days,n/a
Provincial,Alberta,Radiation Therapy,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,British Columbia,CABG,% Meeting Benchmark,2008,Proportion,91
Provincial,British Columbia,CABG,50th Percentile,2008,Days,43
Provincial,British Columbia,CABG,90th Percentile,2008,Days,109
Provincial,British Columbia,CABG,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2008,Proportion,78
Provincial,British Columbia,Cataract Surgery,50th Percentile,2008,Days,55
Provincial,British Columbia,Cataract Surgery,90th Percentile,2008,Days,171
Provincial,British Columbia,Cataract Surgery,Volume,2008,Number of cases,22035
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,British Columbia,CT Scan,50th Percentile,2008,Days,n/a
Provincial,British Columbia,CT Scan,90th Percentile,2008,Days,n/a
Provincial,British Columbia,CT Scan,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2008,Proportion,78
Provincial,British Columbia,Hip Replacement,50th Percentile,2008,Days,71
Provincial,British Columbia,Hip Replacement,90th Percentile,2008,Days,279
Provincial,British Columbia,Hip Replacement,Volume,2008,Number of cases,2192
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2008,Proportion,71
Provincial,British Columbia,Knee Replacement,50th Percentile,2008,Days,102
Provincial,British Columbia,Knee Replacement,90th Percentile,2008,Days,332
Provincial,British Columbia,Knee Replacement,Volume,2008,Number of cases,3130
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,British Columbia,MRI Scan,50th Percentile,2008,Days,n/a
Provincial,British Columbia,MRI Scan,90th Percentile,2008,Days,n/a
Provincial,British Columbia,MRI Scan,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2008,Proportion,95
Provincial,British Columbia,Radiation Therapy,50th Percentile,2008,Days,7
Provincial,British Columbia,Radiation Therapy,90th Percentile,2008,Days,n/a
Provincial,British Columbia,Radiation Therapy,Volume,2008,Number of cases,n/a
National,Canada,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
National,Canada,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
National,Canada,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
National,Canada,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
National,Canada,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
National,Canada,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
National,Canada,CABG,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,CABG,50th Percentile,2008,Days,n/a
National,Canada,CABG,90th Percentile,2008,Days,n/a
National,Canada,CABG,Volume,2008,Number of cases,n/a
National,Canada,Cataract Surgery,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Cataract Surgery,50th Percentile,2008,Days,n/a
National,Canada,Cataract Surgery,90th Percentile,2008,Days,n/a
National,Canada,Cataract Surgery,Volume,2008,Number of cases,n/a
National,Canada,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
National,Canada,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
National,Canada,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
National,Canada,CT Scan,50th Percentile,2008,Days,n/a
National,Canada,CT Scan,90th Percentile,2008,Days,n/a
National,Canada,CT Scan,Volume,2008,Number of cases,n/a
National,Canada,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
National,Canada,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
National,Canada,Hip Fracture Repair,Volume,2008,Number of cases,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
National,Canada,Hip Replacement,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Hip Replacement,50th Percentile,2008,Days,n/a
National,Canada,Hip Replacement,90th Percentile,2008,Days,n/a
National,Canada,Hip Replacement,Volume,2008,Number of cases,n/a
National,Canada,Knee Replacement,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Knee Replacement,50th Percentile,2008,Days,n/a
National,Canada,Knee Replacement,90th Percentile,2008,Days,n/a
National,Canada,Knee Replacement,Volume,2008,Number of cases,n/a
National,Canada,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
National,Canada,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
National,Canada,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
National,Canada,MRI Scan,50th Percentile,2008,Days,n/a
National,Canada,MRI Scan,90th Percentile,2008,Days,n/a
National,Canada,MRI Scan,Volume,2008,Number of cases,n/a
National,Canada,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
National,Canada,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
National,Canada,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
National,Canada,Radiation Therapy,% Meeting Benchmark,2008,Proportion,n/a
National,Canada,Radiation Therapy,50th Percentile,2008,Days,n/a
National,Canada,Radiation Therapy,90th Percentile,2008,Days,n/a
National,Canada,Radiation Therapy,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Manitoba,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Manitoba,CABG,% Meeting Benchmark,2008,Proportion,96
Provincial,Manitoba,CABG,50th Percentile,2008,Days,17
Provincial,Manitoba,CABG,90th Percentile,2008,Days,119
Provincial,Manitoba,CABG,Volume,2008,Number of cases,428
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2008,Proportion,77
Provincial,Manitoba,Cataract Surgery,50th Percentile,2008,Days,75
Provincial,Manitoba,Cataract Surgery,90th Percentile,2008,Days,151
Provincial,Manitoba,Cataract Surgery,Volume,2008,Number of cases,4215
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Manitoba,CT Scan,50th Percentile,2008,Days,n/a
Provincial,Manitoba,CT Scan,90th Percentile,2008,Days,n/a
Provincial,Manitoba,CT Scan,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Manitoba,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2008,Proportion,64
Provincial,Manitoba,Hip Replacement,50th Percentile,2008,Days,139
Provincial,Manitoba,Hip Replacement,90th Percentile,2008,Days,362
Provincial,Manitoba,Hip Replacement,Volume,2008,Number of cases,646
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2008,Proportion,52
Provincial,Manitoba,Knee Replacement,50th Percentile,2008,Days,174
Provincial,Manitoba,Knee Replacement,90th Percentile,2008,Days,479
Provincial,Manitoba,Knee Replacement,Volume,2008,Number of cases,1052
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Manitoba,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Manitoba,MRI Scan,50th Percentile,2008,Days,n/a
Provincial,Manitoba,MRI Scan,90th Percentile,2008,Days,n/a
Provincial,Manitoba,MRI Scan,Volume,2008,Number of cases,23392
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2008,Proportion,99
Provincial,Manitoba,Radiation Therapy,50th Percentile,2008,Days,5
Provincial,Manitoba,Radiation Therapy,90th Percentile,2008,Days,23
Provincial,Manitoba,Radiation Therapy,Volume,2008,Number of cases,1507
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,CABG,% Meeting Benchmark,2008,Proportion,95
Provincial,New Brunswick,CABG,50th Percentile,2008,Days,3
Provincial,New Brunswick,CABG,90th Percentile,2008,Days,131
Provincial,New Brunswick,CABG,Volume,2008,Number of cases,214
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2008,Proportion,74
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2008,Days,57
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2008,Days,194
Provincial,New Brunswick,Cataract Surgery,Volume,2008,Number of cases,4460
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,CT Scan,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,CT Scan,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,CT Scan,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,New Brunswick,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2008,Proportion,66
Provincial,New Brunswick,Hip Replacement,50th Percentile,2008,Days,140
Provincial,New Brunswick,Hip Replacement,90th Percentile,2008,Days,309
Provincial,New Brunswick,Hip Replacement,Volume,2008,Number of cases,300
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2008,Proportion,55
Provincial,New Brunswick,Knee Replacement,50th Percentile,2008,Days,167
Provincial,New Brunswick,Knee Replacement,90th Percentile,2008,Days,408
Provincial,New Brunswick,Knee Replacement,Volume,2008,Number of cases,538
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,MRI Scan,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,MRI Scan,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,MRI Scan,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2008,Proportion,94
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2008,Days,n/a
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2008,Days,n/a
Provincial,New Brunswick,Radiation Therapy,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,CABG,% Meeting Benchmark,2008,Proportion,95
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,CABG,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,CABG,Volume,2008,Number of cases,210
Provincial,Newfoundland and Labrador,Cataract Surgery,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Newfoundland and Labrador,Cataract Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Cataract Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Cataract Surgery,Volume,2008,Number of cases,2079
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,CT Scan,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,CT Scan,Volume,2008,Number of cases,29890
Provincial,Newfoundland and Labrador,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,Hip Replacement,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Hip Replacement,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2008,Number of cases,164
Provincial,Newfoundland and Labrador,Knee Replacement,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Knee Replacement,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2008,Number of cases,287
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,MRI Scan,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2008,Number of cases,5512
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Newfoundland and Labrador,Radiation Therapy,% Meeting Benchmark,2008,Proportion,85
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Radiation Therapy,90th Percentile,2008,Days,n/a
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2008,Number of cases,823
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,CABG,% Meeting Benchmark,2008,Proportion,100
Provincial,Nova Scotia,CABG,50th Percentile,2008,Days,26
Provincial,Nova Scotia,CABG,90th Percentile,2008,Days,65
Provincial,Nova Scotia,CABG,Volume,2008,Number of cases,91
Provincial,Nova Scotia,Cataract Surgery,% Meeting Benchmark,2008,Proportion,75
Provincial,Nova Scotia,Cataract Surgery,50th Percentile,2008,Days,54
Provincial,Nova Scotia,Cataract Surgery,90th Percentile,2008,Days,199
Provincial,Nova Scotia,Cataract Surgery,Volume,2008,Number of cases,4686
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,CT Scan,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,CT Scan,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,CT Scan,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Nova Scotia,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,Nova Scotia,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,Nova Scotia,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Hip Replacement,% Meeting Benchmark,2008,Proportion,45
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2008,Days,201
Provincial,Nova Scotia,Hip Replacement,90th Percentile,2008,Days,642
Provincial,Nova Scotia,Hip Replacement,Volume,2008,Number of cases,486
Provincial,Nova Scotia,Knee Replacement,% Meeting Benchmark,2008,Proportion,46
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2008,Days,213
Provincial,Nova Scotia,Knee Replacement,90th Percentile,2008,Days,647
Provincial,Nova Scotia,Knee Replacement,Volume,2008,Number of cases,660
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,MRI Scan,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,MRI Scan,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,MRI Scan,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Nova Scotia,Radiation Therapy,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Radiation Therapy,90th Percentile,2008,Days,n/a
Provincial,Nova Scotia,Radiation Therapy,Volume,2008,Number of cases,1367
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Ontario,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Ontario,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Ontario,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Ontario,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Ontario,CABG,% Meeting Benchmark,2008,Proportion,100
Provincial,Ontario,CABG,50th Percentile,2008,Days,19
Provincial,Ontario,CABG,90th Percentile,2008,Days,56
Provincial,Ontario,CABG,Volume,2008,Number of cases,3468
Provincial,Ontario,Cataract Surgery,% Meeting Benchmark,2008,Proportion,88
