Type of professional,Year,Ontario: Count,"Ontario: Per 100,000 population",Ontario: Female (%),Ontario: Age <30 years (%),Ontario: Age 30–59 years (%),Ontario: Age 60+ years (%)
Pharmacy technicians,2022,5688.0,37.6,,,,
Pharmacy technicians,2023,5895.0,37.8,,,,
Physician assistants,2019,519.0,3.6,,,,
Physician assistants,2020,506.0,3.4,,,,
Physician assistants,2021,610.0,4.1,67.5,,,
Physician assistants,2022,,,,,,
Physician assistants,2023,511.0,3.3,69.6,,,
Physicians,2019,34091.0,233.9,41.4,3.9,69.6,26.6
Physicians,2020,33830.0,229.2,42.2,3.5,70.9,25.6
Physicians,2021,34860.0,234.9,42.9,3.4,71.1,25.5
Physicians,2022,35320.0,233.2,43.4,3.0,71.7,25.3
Physicians,2023,35215.0,225.6,43.7,2.7,72.3,25.0
Family medicine,2019,16863.0,115.7,45.9,7.2,67.8,25.0
Family medicine,2020,16990.0,115.2,46.8,6.6,69.4,24.0
Family medicine,2021,17220.0,116.0,47.3,6.3,69.3,24.4
Family medicine,2022,17416.0,115.0,47.8,5.7,69.8,24.5
Family medicine,2023,17178.0,110.1,48.2,5.2,70.2,24.5
Specialists,2019,17228.0,118.2,36.9,0.6,71.3,28.1
Specialists,2020,16840.0,114.1,37.7,0.5,72.3,27.2
Specialists,2021,17640.0,118.8,38.5,0.5,72.9,26.6
Specialists,2022,17904.0,118.2,39.1,0.3,73.6,26.0
Specialists,2023,18037.0,115.6,39.5,0.3,74.4,25.4
Physiotherapists,2019,9532.0,65.4,71.6,11.8,80.2,8.1
Physiotherapists,2020,9933.0,67.3,71.1,11.4,80.3,8.3
Physiotherapists,2021,10289.0,69.3,70.9,11.6,80.5,7.9
Physiotherapists,2022,10634.0,70.2,70.4,12.2,80.3,7.4
Physiotherapists,2023,11105.0,71.1,70.0,12.5,80.3,7.3
Psychologists,2019,4001.0,27.5,73.8,0.5,69.0,30.5
Psychologists,2020,4107.0,27.8,74.8,0.3,69.1,30.5
Psychologists,2021,4242.0,28.6,75.7,0.4,69.8,29.8
Psychologists,2022,4266.0,28.2,76.1,0.3,71.1,28.6
Psychologists,2023,4455.0,28.5,76.5,0.3,71.4,28.3
Psychotherapists/counselling therapists,2019,,,,,,
Psychotherapists/counselling therapists,2020,,,,,,
Psychotherapists/counselling therapists,2021,9086.0,61.2,81.7,7.9,71.5,20.6
Psychotherapists/counselling therapists,2022,11208.0,74.0,82.4,14.4,70.0,15.6
Psychotherapists/counselling therapists,2023,13300.0,85.2,82.9,15.2,70.3,14.5
Regulated nurses,2019,160137.0,1098.8,91.8,16.3,70.3,13.4
Regulated nurses,2020,162760.0,1102.6,91.5,16.4,70.7,13.0
Regulated nurses,2021,165440.0,1114.6,91.3,16.4,71.1,12.6
Regulated nurses,2022,168770.0,1114.4,91.0,16.3,71.3,12.4
Regulated nurses,2023,173174.0,1109.5,90.8,16.0,71.8,12.2
Licensed practical nurses,2019,52809.0,362.4,90.5,20.4,71.2,8.5
Licensed practical nurses,2020,54103.0,366.5,90.3,19.9,71.9,8.3
Licensed practical nurses,2021,54984.0,370.5,90.2,19.1,72.8,8.1
Licensed practical nurses,2022,56595.0,373.7,90.1,19.0,73.1,7.9
Licensed practical nurses,2023,58257.0,373.2,90.1,18.8,73.3,7.9
Nurse practitioners,2019,3451.0,23.7,93.3,2.1,87.0,10.8
Nurse practitioners,2020,3681.0,24.9,93.1,2.2,87.0,10.8
Nurse practitioners,2021,3861.0,26.0,92.8,1.9,86.4,11.7
Nurse practitioners,2022,4135.0,27.3,92.2,2.2,85.9,11.9
Nurse practitioners,2023,4407.0,28.2,91.9,2.4,85.4,12.2
Registered nurses,2019,103877.0,712.8,92.4,14.7,69.3,16.0
Registered nurses,2020,104976.0,711.1,92.1,15.1,69.5,15.5
Registered nurses,2021,106595.0,718.2,91.8,15.5,69.6,14.9
Registered nurses,2022,108040.0,713.4,91.5,15.4,69.8,14.8
Registered nurses,2023,110510.0,708.0,91.1,15.1,70.4,14.5
Registered psychiatric nurses,2019,,,,,,
Registered psychiatric nurses,2020,,,,,,
Registered psychiatric nurses,2021,,,,,,
Registered psychiatric nurses,2022,,,,,,
Registered psychiatric nurses,2023,,,,,,
Respiratory therapists,2019,3446.0,23.6,71.9,18.1,76.9,5.0
Respiratory therapists,2020,3513.0,23.8,72.3,17.8,77.4,4.8
Respiratory therapists,2021,3630.0,24.5,72.9,19.0,76.0,5.0
Respiratory therapists,2022,3666.0,24.2,73.2,18.2,76.7,5.0
Respiratory therapists,2023,3734.0,23.9,73.8,17.3,77.4,5.3
Social workers,2019,19726.0,135.4,86.1,16.1,70.8,13.2
Social workers,2020,20079.0,136.0,86.5,14.0,72.1,13.8
Social workers,2021,22646.0,152.6,86.7,11.5,72.2,16.2
Social workers,2022,23757.0,156.9,86.6,14.4,71.3,14.2
Social workers,2023,24563.0,157.37,86.55,14.03,71.97,14.00
Speech–language pathologists,2019,3276.0,22.5,96.8,15.7,76.6,7.7
Speech–language pathologists,2020,3350.0,22.7,96.6,16.3,76.3,7.3
Speech–language pathologists,2021,3482.0,23.5,96.8,16.9,76.1,7.1
Speech–language pathologists,2022,3575.0,23.6,96.7,17.8,74.9,7.4
Speech–language pathologists,2023,3703.0,23.7,97.0,18.3,74.0,7.7
