reporting_level,province,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Ontario,Knee Replacement,90th Percentile,2019FY,Days,283.0
Provincial,Ontario,Knee Replacement,Volume,2019FY,Number of cases,30540.0
Provincial,Ontario,Lung Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,Ontario,Lung Cancer Surgery,90th Percentile,2019FY,Days,39.0
Provincial,Ontario,Lung Cancer Surgery,Volume,2019FY,Number of cases,2985.0
Provincial,Ontario,MRI Scan,50th Percentile,2019FY,Days,35.0
Provincial,Ontario,MRI Scan,90th Percentile,2019FY,Days,118.0
Provincial,Ontario,MRI Scan,Volume,2019FY,Number of cases,718190.0
Provincial,Ontario,Prostate Cancer Surgery,50th Percentile,2019FY,Days,38.0
Provincial,Ontario,Prostate Cancer Surgery,90th Percentile,2019FY,Days,106.0
Provincial,Ontario,Prostate Cancer Surgery,Volume,2019FY,Number of cases,2609.0
Provincial,Ontario,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,98.19
Provincial,Ontario,Radiation Therapy,50th Percentile,2019FY,Days,9.1
Provincial,Ontario,Radiation Therapy,90th Percentile,2019FY,Days,18.2
Provincial,Ontario,Radiation Therapy,Volume,2019FY,Number of cases,35213.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,50th Percentile,2019FY,Days,32.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,90th Percentile,2019FY,Days,69.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,Volume,2019FY,Number of cases,84.0
Provincial,Prince Edward Island,Breast Cancer Surgery,50th Percentile,2019FY,Days,16.0
Provincial,Prince Edward Island,Breast Cancer Surgery,90th Percentile,2019FY,Days,29.0
Provincial,Prince Edward Island,Breast Cancer Surgery,Volume,2019FY,Number of cases,106.0
Provincial,Prince Edward Island,CABG,50th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,CABG,90th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,CABG,Volume,2019FY,Number of cases,N/A
Provincial,Prince Edward Island,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,28.0
Provincial,Prince Edward Island,Cataract Surgery,50th Percentile,2019FY,Days,172.5
Provincial,Prince Edward Island,Cataract Surgery,90th Percentile,2019FY,Days,376.9
Provincial,Prince Edward Island,Cataract Surgery,Volume,2019FY,Number of cases,1531.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,20.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,40.2
Provincial,Prince Edward Island,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,83.0
Provincial,Prince Edward Island,CT Scan,50th Percentile,2019FY,Days,23.1
Provincial,Prince Edward Island,CT Scan,90th Percentile,2019FY,Days,70.2
Provincial,Prince Edward Island,CT Scan,Volume,2019FY,Number of cases,9198.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019FY,Proportion,96.3
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019FY,Hours,13.3
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019FY,Hours,37.5
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,Volume,2019FY,Number of cases,192.0
Provincial,Prince Edward Island,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,57.0
Provincial,Prince Edward Island,Hip Replacement,50th Percentile,2019FY,Days,160.5
Provincial,Prince Edward Island,Hip Replacement,90th Percentile,2019FY,Days,398.4
Provincial,Prince Edward Island,Hip Replacement,Volume,2019FY,Number of cases,230.0
Provincial,Prince Edward Island,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,28.1
Provincial,Prince Edward Island,Knee Replacement,50th Percentile,2019FY,Days,255.0
Provincial,Prince Edward Island,Knee Replacement,90th Percentile,2019FY,Days,407.4
Provincial,Prince Edward Island,Knee Replacement,Volume,2019FY,Number of cases,356.0
Provincial,Prince Edward Island,Lung Cancer Surgery,50th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,Lung Cancer Surgery,90th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,Lung Cancer Surgery,Volume,2019FY,Number of cases,N/A
Provincial,Prince Edward Island,MRI Scan,50th Percentile,2019FY,Days,38.2
Provincial,Prince Edward Island,MRI Scan,90th Percentile,2019FY,Days,209.9
Provincial,Prince Edward Island,MRI Scan,Volume,2019FY,Number of cases,4594.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,50th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,Prostate Cancer Surgery,90th Percentile,2019FY,Days,N/A
Provincial,Prince Edward Island,Prostate Cancer Surgery,Volume,2019FY,Number of cases,N/A
Provincial,Prince Edward Island,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,97.5
Provincial,Prince Edward Island,Radiation Therapy,50th Percentile,2019FY,Days,11.0
Provincial,Prince Edward Island,Radiation Therapy,90th Percentile,2019FY,Days,22.0
Provincial,Prince Edward Island,Radiation Therapy,Volume,2019FY,Number of cases,512.0
Provincial,Quebec,Bladder Cancer Surgery,50th Percentile,2019FY,Days,25.0
Provincial,Quebec,Bladder Cancer Surgery,90th Percentile,2019FY,Days,50.0
Provincial,Quebec,Bladder Cancer Surgery,Volume,2019FY,Number of cases,6983.0
