reporting_level,province,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Newfoundland and Labrador,Knee Replacement,90th Percentile,2019,Days,292.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2019,Number of cases,673.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,90th Percentile,2019,Days,40.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2019,Number of cases,85.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,90th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2019,Number of cases,20135.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2019,Days,43.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,90th Percentile,2019,Days,63.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2019,Number of cases,114.0
Provincial,Newfoundland and Labrador,Radiation Therapy,% Meeting Benchmark,2019,Proportion,99.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2019,Days,15.0
Provincial,Newfoundland and Labrador,Radiation Therapy,90th Percentile,2019,Days,22.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2019,Number of cases,1082.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2019,Days,33.0
Provincial,Nova Scotia,Bladder Cancer Surgery,90th Percentile,2019,Days,91.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2019,Number of cases,722.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,Nova Scotia,Breast Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2019,Number of cases,986.0
Provincial,Nova Scotia,CABG,50th Percentile,2019,Days,6.0
Provincial,Nova Scotia,CABG,90th Percentile,2019,Days,42.0
Provincial,Nova Scotia,CABG,Volume,2019,Number of cases,278.0
Provincial,Nova Scotia,Cataract Surgery,% Meeting Benchmark,2019,Proportion,56.0
Provincial,Nova Scotia,Cataract Surgery,50th Percentile,2019,Days,91.0
Provincial,Nova Scotia,Cataract Surgery,90th Percentile,2019,Days,265.0
Provincial,Nova Scotia,Cataract Surgery,Volume,2019,Number of cases,7402.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2019,Days,25.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,90th Percentile,2019,Days,54.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2019,Number of cases,504.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2019,Days,25.0
Provincial,Nova Scotia,CT Scan,90th Percentile,2019,Days,84.0
Provincial,Nova Scotia,CT Scan,Volume,2019,Number of cases,117578.0
Provincial,Nova Scotia,Hip Replacement,% Meeting Benchmark,2019,Proportion,61.6
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2019,Days,146.0
Provincial,Nova Scotia,Hip Replacement,90th Percentile,2019,Days,442.0
Provincial,Nova Scotia,Hip Replacement,Volume,2019,Number of cases,1552.0
Provincial,Nova Scotia,Knee Replacement,% Meeting Benchmark,2019,Proportion,48.0
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2019,Days,190.0
Provincial,Nova Scotia,Knee Replacement,90th Percentile,2019,Days,548.0
Provincial,Nova Scotia,Knee Replacement,Volume,2019,Number of cases,2594.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2019,Days,42.0
Provincial,Nova Scotia,Lung Cancer Surgery,90th Percentile,2019,Days,86.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2019,Number of cases,347.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2019,Days,46.0
Provincial,Nova Scotia,MRI Scan,90th Percentile,2019,Days,247.0
Provincial,Nova Scotia,MRI Scan,Volume,2019,Number of cases,41870.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2019,Days,52.0
Provincial,Nova Scotia,Prostate Cancer Surgery,90th Percentile,2019,Days,103.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2019,Number of cases,186.0
Provincial,Nova Scotia,Radiation Therapy,% Meeting Benchmark,2019,Proportion,96.7
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2019,Days,9.0
Provincial,Nova Scotia,Radiation Therapy,90th Percentile,2019,Days,23.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2019,Number of cases,3179.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2019,Days,24.0
Provincial,Ontario,Bladder Cancer Surgery,90th Percentile,2019,Days,62.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2019,Number of cases,11419.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,Ontario,Breast Cancer Surgery,90th Percentile,2019,Days,32.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2019,Number of cases,12713.0
Provincial,Ontario,CABG,50th Percentile,2019,Days,7.0
Provincial,Ontario,CABG,90th Percentile,2019,Days,51.0
Provincial,Ontario,CABG,Volume,2019,Number of cases,6485.0
Provincial,Ontario,Cataract Surgery,% Meeting Benchmark,2019,Proportion,71.6
Provincial,Ontario,Cataract Surgery,50th Percentile,2019,Days,64.0
Provincial,Ontario,Cataract Surgery,90th Percentile,2019,Days,219.0
Provincial,Ontario,Cataract Surgery,Volume,2019,Number of cases,135328.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Ontario,Colorectal Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Ontario,Colorectal Cancer Surgery,Volume,2019,Number of cases,4813.0
Provincial,Ontario,CT Scan,50th Percentile,2019,Days,6.0
Provincial,Ontario,CT Scan,90th Percentile,2019,Days,51.0
Provincial,Ontario,CT Scan,Volume,2019,Number of cases,1007677.0
Provincial,Ontario,Hip Replacement,% Meeting Benchmark,2019,Proportion,84.5
Provincial,Ontario,Hip Replacement,50th Percentile,2019,Days,76.0
Provincial,Ontario,Hip Replacement,90th Percentile,2019,Days,236.0
Provincial,Ontario,Hip Replacement,Volume,2019,Number of cases,17688.0
Provincial,Ontario,Knee Replacement,% Meeting Benchmark,2019,Proportion,80.2
Provincial,Ontario,Knee Replacement,50th Percentile,2019,Days,85.0
Provincial,Ontario,Knee Replacement,90th Percentile,2019,Days,283.0
Provincial,Ontario,Knee Replacement,Volume,2019,Number of cases,30540.0
Provincial,Ontario,Lung Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Ontario,Lung Cancer Surgery,90th Percentile,2019,Days,39.0
Provincial,Ontario,Lung Cancer Surgery,Volume,2019,Number of cases,2985.0
Provincial,Ontario,MRI Scan,50th Percentile,2019,Days,35.0
Provincial,Ontario,MRI Scan,90th Percentile,2019,Days,118.0
Provincial,Ontario,MRI Scan,Volume,2019,Number of cases,718190.0
Provincial,Ontario,Prostate Cancer Surgery,50th Percentile,2019,Days,38.0
Provincial,Ontario,Prostate Cancer Surgery,90th Percentile,2019,Days,106.0
Provincial,Ontario,Prostate Cancer Surgery,Volume,2019,Number of cases,2609.0
Provincial,Ontario,Radiation Therapy,% Meeting Benchmark,2019,Proportion,98.2
Provincial,Ontario,Radiation Therapy,50th Percentile,2019,Days,9.1
Provincial,Ontario,Radiation Therapy,90th Percentile,2019,Days,18.2
Provincial,Ontario,Radiation Therapy,Volume,2019,Number of cases,35213.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,50th Percentile,2019,Days,32.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,90th Percentile,2019,Days,69.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,Volume,2019,Number of cases,84.0
Provincial,Prince Edward Island,Breast Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,Prince Edward Island,Breast Cancer Surgery,90th Percentile,2019,Days,29.0
Provincial,Prince Edward Island,Breast Cancer Surgery,Volume,2019,Number of cases,106.0
Provincial,Prince Edward Island,CABG,50th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,CABG,90th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,CABG,Volume,2019,Number of cases,N/A
Provincial,Prince Edward Island,Cataract Surgery,% Meeting Benchmark,2019,Proportion,28.0
Provincial,Prince Edward Island,Cataract Surgery,50th Percentile,2019,Days,172.5
Provincial,Prince Edward Island,Cataract Surgery,90th Percentile,2019,Days,376.9
Provincial,Prince Edward Island,Cataract Surgery,Volume,2019,Number of cases,1531.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,90th Percentile,2019,Days,40.2
Provincial,Prince Edward Island,Colorectal Cancer Surgery,Volume,2019,Number of cases,83.0
Provincial,Prince Edward Island,CT Scan,50th Percentile,2019,Days,23.1
Provincial,Prince Edward Island,CT Scan,90th Percentile,2019,Days,70.2
Provincial,Prince Edward Island,CT Scan,Volume,2019,Number of cases,9198.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,96.3
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Days,0.55
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Days,1.56
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,192.0
Provincial,Prince Edward Island,Hip Replacement,% Meeting Benchmark,2019,Proportion,57.0
Provincial,Prince Edward Island,Hip Replacement,50th Percentile,2019,Days,160.5
Provincial,Prince Edward Island,Hip Replacement,90th Percentile,2019,Days,398.4
Provincial,Prince Edward Island,Hip Replacement,Volume,2019,Number of cases,230.0
Provincial,Prince Edward Island,Knee Replacement,% Meeting Benchmark,2019,Proportion,28.1
Provincial,Prince Edward Island,Knee Replacement,50th Percentile,2019,Days,255.0
Provincial,Prince Edward Island,Knee Replacement,90th Percentile,2019,Days,407.4
Provincial,Prince Edward Island,Knee Replacement,Volume,2019,Number of cases,356.0
Provincial,Prince Edward Island,Lung Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,Lung Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,Lung Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Prince Edward Island,MRI Scan,50th Percentile,2019,Days,38.2
Provincial,Prince Edward Island,MRI Scan,90th Percentile,2019,Days,209.9
Provincial,Prince Edward Island,MRI Scan,Volume,2019,Number of cases,4594.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,Prostate Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Prince Edward Island,Prostate Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Prince Edward Island,Radiation Therapy,% Meeting Benchmark,2019,Proportion,97.5
Provincial,Prince Edward Island,Radiation Therapy,50th Percentile,2019,Days,11.0
Provincial,Prince Edward Island,Radiation Therapy,90th Percentile,2019,Days,22.0
Provincial,Prince Edward Island,Radiation Therapy,Volume,2019,Number of cases,512.0
Provincial,Quebec,Bladder Cancer Surgery,50th Percentile,2019,Days,25.0
Provincial,Quebec,Bladder Cancer Surgery,90th Percentile,2019,Days,50.0
Provincial,Quebec,Bladder Cancer Surgery,Volume,2019,Number of cases,6983.0
Provincial,Quebec,Breast Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,Quebec,Breast Cancer Surgery,90th Percentile,2019,Days,40.0
Provincial,Quebec,Breast Cancer Surgery,Volume,2019,Number of cases,9244.0
Provincial,Quebec,CABG,50th Percentile,2019,Days,N/A
Provincial,Quebec,CABG,90th Percentile,2019,Days,N/A
Provincial,Quebec,CABG,Volume,2019,Number of cases,N/A
Provincial,Quebec,Cataract Surgery,% Meeting Benchmark,2019,Proportion,80.3
Provincial,Quebec,Cataract Surgery,50th Percentile,2019,Days,42.0
Provincial,Quebec,Cataract Surgery,90th Percentile,2019,Days,156.0
Provincial,Quebec,Cataract Surgery,Volume,2019,Number of cases,102304.0
Provincial,Quebec,Colorectal Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,Quebec,Colorectal Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Quebec,Colorectal Cancer Surgery,Volume,2019,Number of cases,4134.0
Provincial,Quebec,CT Scan,50th Percentile,2019,Days,N/A
Provincial,Quebec,CT Scan,90th Percentile,2019,Days,N/A
Provincial,Quebec,CT Scan,Volume,2019,Number of cases,N/A
Provincial,Quebec,Hip Replacement,% Meeting Benchmark,2019,Proportion,72.4
Provincial,Quebec,Hip Replacement,50th Percentile,2019,Days,111.0
Provincial,Quebec,Hip Replacement,90th Percentile,2019,Days,268.0
