reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,New Brunswick,,MRI Scan,90th Percentile,2019,Days,N/A
Provincial,New Brunswick,,MRI Scan,Volume,2019,Number of cases,N/A
Provincial,New Brunswick,,Prostate Cancer Surgery,50th Percentile,2019,Days,31.0
Provincial,New Brunswick,,Prostate Cancer Surgery,90th Percentile,2019,Days,71.0
Provincial,New Brunswick,,Prostate Cancer Surgery,Volume,2019,Number of cases,84.0
Provincial,New Brunswick,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,92.8
Provincial,New Brunswick,,Radiation Therapy,50th Percentile,2019,Days,12.0
Provincial,New Brunswick,,Radiation Therapy,90th Percentile,2019,Days,27.0
Provincial,New Brunswick,,Radiation Therapy,Volume,2019,Number of cases,1048.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,Volume,2019,Number of cases,108.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,90th Percentile,2019,Days,35.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,Volume,2019,Number of cases,220.0
Provincial,Newfoundland and Labrador,,CABG,50th Percentile,2019,Days,9.0
Provincial,Newfoundland and Labrador,,CABG,90th Percentile,2019,Days,149.0
Provincial,Newfoundland and Labrador,,CABG,Volume,2019,Number of cases,182.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,63.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,50th Percentile,2019,Days,95.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,90th Percentile,2019,Days,209.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,Volume,2019,Number of cases,1263.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,50th Percentile,2019,Days,15.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,90th Percentile,2019,Days,35.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,Volume,2019,Number of cases,177.0
Provincial,Newfoundland and Labrador,,CT Scan,50th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,,CT Scan,90th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,,CT Scan,Volume,2019,Number of cases,37795.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,85.4251012145749
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,50th Percentile,2019,Hours,21.4
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2019,Hours,59.7666666666667
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2019,Number of cases,247.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,98.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,21.8
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,37.45
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,195.0
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2019,Proportion,76.0
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2019,Days,113.0
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2019,Days,229.0
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2019,Number of cases,303.0
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2019,Proportion,72.0
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2019,Days,133.0
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2019,Days,280.0
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2019,Number of cases,546.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2019,Number of cases,45.0
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2019,Number of cases,8888.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2019,Days,43.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2019,Days,62.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2019,Number of cases,67.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,100.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2019,Days,16.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2019,Days,22.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2019,Number of cases,515.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2019,Days,34.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2019,Days,80.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2019,Number of cases,347.0
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2019,Days,22.0
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2019,Days,42.0
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2019,Number of cases,513.0
Provincial,Nova Scotia,,CABG,50th Percentile,2019,Days,7.0
Provincial,Nova Scotia,,CABG,90th Percentile,2019,Days,43.0
Provincial,Nova Scotia,,CABG,Volume,2019,Number of cases,131.0
Provincial,Nova Scotia,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,57.0
Provincial,Nova Scotia,,Cataract Surgery,50th Percentile,2019,Days,92.0
Provincial,Nova Scotia,,Cataract Surgery,90th Percentile,2019,Days,250.0
Provincial,Nova Scotia,,Cataract Surgery,Volume,2019,Number of cases,3848.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2019,Days,26.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2019,Days,51.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2019,Number of cases,264.0
Provincial,Nova Scotia,,CT Scan,50th Percentile,2019,Days,26.0
Provincial,Nova Scotia,,CT Scan,90th Percentile,2019,Days,80.0
Provincial,Nova Scotia,,CT Scan,Volume,2019,Number of cases,37935.0
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,88.9196675900277
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2019,Hours,20.3333333333333
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2019,Hours,50.4
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2019,Number of cases,361.0
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,N/A
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2019,Proportion,59.0
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2019,Days,158.0
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2019,Days,442.0
Provincial,Nova Scotia,,Hip Replacement,Volume,2019,Number of cases,798.0
Provincial,Nova Scotia,,Knee Replacement,% Meeting Benchmark,2019,Proportion,47.0
Provincial,Nova Scotia,,Knee Replacement,50th Percentile,2019,Days,195.0
Provincial,Nova Scotia,,Knee Replacement,90th Percentile,2019,Days,531.0
Provincial,Nova Scotia,,Knee Replacement,Volume,2019,Number of cases,1331.0
Provincial,Nova Scotia,,Lung Cancer Surgery,50th Percentile,2019,Days,43.0
Provincial,Nova Scotia,,Lung Cancer Surgery,90th Percentile,2019,Days,84.0
Provincial,Nova Scotia,,Lung Cancer Surgery,Volume,2019,Number of cases,179.0
Provincial,Nova Scotia,,MRI Scan,50th Percentile,2019,Days,50.0
Provincial,Nova Scotia,,MRI Scan,90th Percentile,2019,Days,251.0
Provincial,Nova Scotia,,MRI Scan,Volume,2019,Number of cases,13242.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,50th Percentile,2019,Days,55.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,90th Percentile,2019,Days,106.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,Volume,2019,Number of cases,91.0
Provincial,Nova Scotia,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,97.0
Provincial,Nova Scotia,,Radiation Therapy,50th Percentile,2019,Days,9.0
Provincial,Nova Scotia,,Radiation Therapy,90th Percentile,2019,Days,23.0
Provincial,Nova Scotia,,Radiation Therapy,Volume,2019,Number of cases,1473.0
Provincial,Ontario,,Bladder Cancer Surgery,50th Percentile,2019,Days,23.0
Provincial,Ontario,,Bladder Cancer Surgery,90th Percentile,2019,Days,62.0
Provincial,Ontario,,Bladder Cancer Surgery,Volume,2019,Number of cases,5841.0
Provincial,Ontario,,Breast Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,Ontario,,Breast Cancer Surgery,90th Percentile,2019,Days,32.0
Provincial,Ontario,,Breast Cancer Surgery,Volume,2019,Number of cases,6407.0
Provincial,Ontario,,CABG,50th Percentile,2019,Days,7.0
Provincial,Ontario,,CABG,90th Percentile,2019,Days,50.0
Provincial,Ontario,,CABG,Volume,2019,Number of cases,3344.0
Provincial,Ontario,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,72.4172618448848
Provincial,Ontario,,Cataract Surgery,50th Percentile,2019,Days,63.0
Provincial,Ontario,,Cataract Surgery,90th Percentile,2019,Days,223.0
Provincial,Ontario,,Cataract Surgery,Volume,2019,Number of cases,69587.0
Provincial,Ontario,,Colorectal Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Ontario,,Colorectal Cancer Surgery,90th Percentile,2019,Days,41.0
Provincial,Ontario,,Colorectal Cancer Surgery,Volume,2019,Number of cases,2329.0
Provincial,Ontario,,CT Scan,50th Percentile,2019,Days,6.0
Provincial,Ontario,,CT Scan,90th Percentile,2019,Days,50.0
Provincial,Ontario,,CT Scan,Volume,2019,Number of cases,508517.0
Provincial,Ontario,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,85.5025888234244
Provincial,Ontario,,Hip Fracture Repair,50th Percentile,2019,Hours,24.0
Provincial,Ontario,,Hip Fracture Repair,90th Percentile,2019,Hours,56.15
Provincial,Ontario,,Hip Fracture Repair,Volume,2019,Number of cases,5601.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,78.2787688688492
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,29.7666666666667
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,62.3166666666667
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,5101.0
Provincial,Ontario,,Hip Replacement,% Meeting Benchmark,2019,Proportion,84.8124220786581
Provincial,Ontario,,Hip Replacement,50th Percentile,2019,Days,77.0
Provincial,Ontario,,Hip Replacement,90th Percentile,2019,Days,234.0
Provincial,Ontario,,Hip Replacement,Volume,2019,Number of cases,8823.0
Provincial,Ontario,,Knee Replacement,% Meeting Benchmark,2019,Proportion,79.8619543682495
Provincial,Ontario,,Knee Replacement,50th Percentile,2019,Days,85.0
Provincial,Ontario,,Knee Replacement,90th Percentile,2019,Days,281.0
Provincial,Ontario,,Knee Replacement,Volume,2019,Number of cases,15647.0
Provincial,Ontario,,Lung Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Ontario,,Lung Cancer Surgery,90th Percentile,2019,Days,40.0
Provincial,Ontario,,Lung Cancer Surgery,Volume,2019,Number of cases,1546.0
Provincial,Ontario,,MRI Scan,50th Percentile,2019,Days,35.0
Provincial,Ontario,,MRI Scan,90th Percentile,2019,Days,114.0
Provincial,Ontario,,MRI Scan,Volume,2019,Number of cases,356584.0
Provincial,Ontario,,Prostate Cancer Surgery,50th Percentile,2019,Days,40.0
Provincial,Ontario,,Prostate Cancer Surgery,90th Percentile,2019,Days,113.0
Provincial,Ontario,,Prostate Cancer Surgery,Volume,2019,Number of cases,1326.0
